"survey_result_id","workoscope_result_id","scores"
"636e4130-1eaa-41ba-83f6-551691e977f9","f2dc2561-986e-49ff-a728-1119857d0ee2","[{""mode"" : ""Introspection"", ""mode_score"" : 44}, {""mode"" : ""Impact"", ""mode_score"" : 31}, {""mode"" : ""Équilibre"", ""mode_score"" : 17}, {""mode"" : ""Transformation"", ""mode_score"" : 8}, {""mode"" : ""Ascension"", ""mode_score"" : 0}]"
"65323402-1a2b-459d-812c-e308a5eb7a1d","5dc63fa9-dc39-42d3-ba03-b0584304ea1b","[{""mode"" : ""Équilibre"", ""mode_score"" : 42}, {""mode"" : ""Introspection"", ""mode_score"" : 42}, {""mode"" : ""Impact"", ""mode_score"" : 12}, {""mode"" : ""Ascension"", ""mode_score"" : 4}, {""mode"" : ""Transformation"", ""mode_score"" : 0}]"
"66c85082-3cca-49f4-9a94-6d3b3f042c2b","2ba3ff94-f6bc-4247-8ea3-c84cc64cffff","[{""mode"" : ""Introspection"", ""mode_score"" : 34}, {""mode"" : ""Ascension"", ""mode_score"" : 21}, {""mode"" : ""Impact"", ""mode_score"" : 16}, {""mode"" : ""Transformation"", ""mode_score"" : 15}, {""mode"" : ""Équilibre"", ""mode_score"" : 14}]"
"6aa0d132-a936-4845-8cf4-06ecf8c30827","a6f50fc8-5537-4310-8f2d-0ce1cc35c5aa","[{""mode"" : ""Introspection"", ""mode_score"" : 32}, {""mode"" : ""Transformation"", ""mode_score"" : 24}, {""mode"" : ""Équilibre"", ""mode_score"" : 19}, {""mode"" : ""Ascension"", ""mode_score"" : 15}, {""mode"" : ""Impact"", ""mode_score"" : 10}]"
"6afef2de-0dbc-45b5-98fe-297cef9c4278","f0364890-d14c-4804-bf26-e84c49700059","[{""mode"" : ""Introspection"", ""mode_score"" : 27}, {""mode"" : ""Impact"", ""mode_score"" : 26}, {""mode"" : ""Ascension"", ""mode_score"" : 19}, {""mode"" : ""Transformation"", ""mode_score"" : 15}, {""mode"" : ""Équilibre"", ""mode_score"" : 13}]"
"6ec4c61b-c7cb-49a5-b73b-90fec4783490","00c405a7-acdd-4a9f-88d6-ac5be1daf81f","[{""mode"" : ""Impact"", ""mode_score"" : 85}, {""mode"" : ""Introspection"", ""mode_score"" : 15}, {""mode"" : ""Ascension"", ""mode_score"" : 0}, {""mode"" : ""Équilibre"", ""mode_score"" : 0}, {""mode"" : ""Transformation"", ""mode_score"" : 0}]"
"6fb07367-d872-4f85-b2ff-92810645a0d3","dc9d5a00-de21-48a5-a797-c47264b03532","[{""mode"" : ""Équilibre"", ""mode_score"" : 65}, {""mode"" : ""Introspection"", ""mode_score"" : 30}, {""mode"" : ""Impact"", ""mode_score"" : 5}, {""mode"" : ""Ascension"", ""mode_score"" : 0}, {""mode"" : ""Transformation"", ""mode_score"" : 0}]"
"717d12aa-89a9-4d26-9533-2229672f4d7a","6afd143d-6fb6-4e2b-98d9-b113cdb34728","[{""mode"" : ""Introspection"", ""mode_score"" : 37}, {""mode"" : ""Équilibre"", ""mode_score"" : 28}, {""mode"" : ""Transformation"", ""mode_score"" : 15}, {""mode"" : ""Ascension"", ""mode_score"" : 10}, {""mode"" : ""Impact"", ""mode_score"" : 10}]"
"7181ba26-a4cc-4fca-92df-255e57b2b962","b35d29fb-5c25-4740-a20a-1d6783d633ee","[{""mode"" : ""Transformation"", ""mode_score"" : 36}, {""mode"" : ""Introspection"", ""mode_score"" : 27}, {""mode"" : ""Ascension"", ""mode_score"" : 24}, {""mode"" : ""Impact"", ""mode_score"" : 13}, {""mode"" : ""Équilibre"", ""mode_score"" : 0}]"
"725350e8-d6de-42b4-87eb-8000dff12238","bbfef8d7-86c4-4b89-af88-1ea9b3a0a91a","[{""mode"" : ""Introspection"", ""mode_score"" : 29}, {""mode"" : ""Transformation"", ""mode_score"" : 21}, {""mode"" : ""Ascension"", ""mode_score"" : 20}, {""mode"" : ""Impact"", ""mode_score"" : 17}, {""mode"" : ""Équilibre"", ""mode_score"" : 13}]"
